EASTING,NORTHING,DIP,DIP_DIR
231642,6357727,44,95
231642,6362727,14,280
231642,6364727,35,265
231642,6370727,39,250
231642,6371727,39,255
231642,6372727,44,275
231642,6375727,65,280
231642,6376727,49,275
231642,6454727,34,150
231642,6457727,19,95
232642,6234727,37,116
232642,6236727,35,108
232642,6242727,22,97
232642,6257727,11,91
232642,6277727,8,66
232642,6282727,11,69
232642,6286727,32,78
232642,6290727,14,74
232642,6295727,6,84
232642,6298727,13,50
232642,6308727,4,169
232642,6327727,62,245
232642,6328727,46,239
232642,6329727,45,246
232642,6330727,83,276
232642,6331727,49,260
232642,6335727,30,70
232642,6336727,28,39
232642,6337727,41,40
232642,6339727,44,57
232642,6342727,49,27
232642,6344727,39,58
232642,6348727,70,30
232642,6351727,29,15
232642,6352727,29,95
232642,6357727,35,95
232642,6359727,39,120
232642,6360727,49,112
232642,6363727,29,285
232642,6372727,35,255
233642,6238727,34,135
233642,6241727,39,88
233642,6244727,34,110
233642,6245727,19,42
233642,6246727,25,96
233642,6247727,23,93
233642,6249727,23,93
233642,6251727,14,91
233642,6257727,5,105
233642,6258727,8,121
233642,6260727,9,171
233642,6279727,12,10
233642,6281727,13,91
233642,6282727,9,82
233642,6283727,9,59
233642,6286727,8,33
233642,6287727,8,64
233642,6300727,16,105
233642,6301727,17,87
233642,6324727,30,242
233642,6325727,20,199
233642,6327727,17,214
233642,6328727,31,252
233642,6331727,1,109
233642,6337727,29,48
233642,6338727,37,58
233642,6339727,41,37
233642,6340727,34,48
233642,6341727,43,66
233642,6342727,51,67
233642,6343727,35,358
233642,6344727,45,69
233642,6351727,60,65
233642,6363727,29,271
234642,6241727,33,94
234642,6242727,10,83
234642,6249727,11,61
234642,6252727,11,115
234642,6253727,10,117
234642,6260727,6,71
234642,6261727,5,119
234642,6263727,14,126
234642,6279727,7,23
234642,6297727,14,231
234642,6299727,11,199
234642,6303727,25,192
234642,6322727,27,259
234642,6325727,29,243
234642,6326727,23,97
234642,6327727,23,173
234642,6329727,45,85
234642,6336727,41,67
234642,6337727,55,52
234642,6339727,46,59
234642,6340727,33,51
234642,6341727,19,358
234642,6342727,35,50
234642,6343727,53,80
234642,6344727,68,73
234642,6347727,54,90
234642,6353727,39,65
234642,6360727,60,265
234642,6361727,65,285
234642,6362727,60,265
234642,6453727,29,140
234642,6475727,19,5
235642,6245727,40,120
235642,6247727,11,56
235642,6251727,19,92
235642,6252727,21,149
235642,6258727,10,100
235642,6259727,5,135
235642,6260727,5,145
235642,6264727,28,98
235642,6265727,10,162
235642,6273727,7,58
235642,6279727,8,66
235642,6283727,7,39
235642,6303727,19,219
235642,6315727,23,102
235642,6318727,30,70
235642,6319727,23,212
235642,6320727,19,193
235642,6321727,10,207
235642,6323727,33,71
235642,6326727,48,74
235642,6327727,46,61
235642,6328727,59,70
235642,6329727,54,84
235642,6333727,44,77
235642,6334727,52,74
235642,6335727,51,79
235642,6336727,51,80
235642,6337727,49,75
235642,6338727,54,78
235642,6340727,43,72
235642,6344727,57,53
235642,6356727,54,75
235642,6359727,33,199
235642,6361727,80,90
235642,6364727,62,274
236642,6247727,25,90
236642,6252727,17,99
236642,6253727,11,121
236642,6255727,9,118
236642,6256727,7,113
236642,6258727,11,155
236642,6263727,19,113
236642,6270727,14,77
236642,6276727,9,71
236642,6277727,9,62
236642,6300727,12,99
236642,6301727,31,88
236642,6302727,5,182
236642,6311727,27,220
236642,6312727,23,196
236642,6313727,20,172
236642,6314727,49,134
236642,6315727,20,125
236642,6317727,50,176
236642,6318727,26,180
236642,6322727,27,70
236642,6323727,37,106
236642,6325727,40,95
236642,6333727,55,88
236642,6335727,44,87
236642,6336727,40,58
236642,6338727,59,75
236642,6339727,48,92
236642,6341727,41,65
236642,6344727,38,63
236642,6348727,9,355
236642,6353727,44,280
236642,6361727,80,90
236642,6362727,75,95
236642,6363727,44,105
236642,6448727,49,320
237642,6252727,40,101
237642,6253727,11,130
237642,6260727,35,127
237642,6263727,9,187
237642,6268727,7,135
237642,6271727,11,70
237642,6273727,10,73
237642,6275727,6,90
