,FIELD_STRU,SITE_NO,LONG_DEG_R,NEG_LAT_DE,LITHO_NO,STRAT_NAME,STRAT_UNIT,STRUCT_TYP,STRUCTURE_,COMMENTS,CONFIDENCE,LOCAL_GENE,OROGENY_CO,REGIONAL_G,AZIMUTH_OR,AZIMUTH_TR,AZIMUTH_AC,AZIMUTH_ME,INCLINATIO,INCLINAT_1,DATE_OF_FI,YOUNGING,FAULT_SEPA,FAULT_DISP,PLOT_PREFE,MIN_PLOT_S,HADE_VECTO,HADE_VEC_1,PLANE_OF_H,AFFECT_EL_,AFFECT_E_1,AFFECT_E_2,AFFECT_E_3,AFFECT_E_4,EASTING,NORTHING,X,Y,POINT_X,POINT_Y,DIP,DIP_DIR,geometry
5,28,185924,139.1054652,-33.5995655,26,Grampus Quartzite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,276,284,2,M,73,2,19/10/1994,,,,2,10,,,,,,0,,,324215.0,6280633.33307,324214.636869,6280633.33307,324214.636869,6280633.33307,73.0,284.0,POINT (324214.6368685498 6280633.333072066)
9,35,192452,139.1044652,-33.5960175,31,Pepuarta Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,264,272,2,M,56,2,19/10/1994,,,,0,10,,,,,,0,,,324115.0,6281025.08758,324114.632549,6281025.08758,324114.632549,6281025.08758,56.0,272.0,POINT (324114.63254924817 6281025.08757512)
10,37,192453,139.1041342,-33.5957435,32,Grampus Quartzite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,244,252,2,M,65,2,19/10/1994,,,,0,50,,,,,,0,,,324083.0,6281054.91008,324083.358375,6281054.91008,324083.358375,6281054.91008,65.0,252.0,POINT (324083.35837514524 6281054.910080054)
11,38,192454,139.1072022,-33.5638965,34,Pepuarta Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,92,100,2,M,55,2,27/10/1994,,,,1,50,,,,,,0,,,324304.0,6284591.766,324303.523788,6284591.766,324303.523788,6284591.766,55.0,100.0,POINT (324303.52378846786 6284591.765996788)
12,40,192454,139.1072022,-33.5638965,33,Pepuarta Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,92,100,2,M,55,2,27/10/1994,,,,2,10,,,,,,0,,,324304.0,6284591.766,324303.523788,6284591.766,324303.523788,6284591.766,55.0,100.0,POINT (324303.52378846786 6284591.765996788)
14,45,194731,139.1094082,-33.5641155,41,Pepuarta Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,260,268,2,M,54,2,27/10/1994,,,,0,10,,,,,,0,,,324509.0,6284571.21993,324508.765188,6284571.21993,324508.765188,6284571.21993,54.0,268.0,POINT (324508.76518754713 6284571.219929278)
15,76,196051,139.1355732,-33.5659075,73,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,250,258,2,M,82,2,27/10/1995,,,,0,10,,,,,,0,,,326941.0,6284416.5222,326941.405138,6284416.5222,326941.405138,6284416.5222,82.0,258.0,POINT (326941.40513787034 6284416.5221968405)
16,101,196100,139.1443182,-33.5665955,104,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,237,245,2,M,49,20,27/10/1994,,,,0,10,,,,,,0,,,327755.0,6284354.8048,327754.605897,6284354.8048,327754.605897,6284354.8048,49.0,245.0,POINT (327754.60589671007 6284354.804804206)
17,102,196100,139.1443182,-33.5665955,105,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,238,246,2,M,65,2,27/10/1994,,,,0,10,,,,,,0,,,327755.0,6284354.8048,327754.605897,6284354.8048,327754.605897,6284354.8048,65.0,246.0,POINT (327754.60589671007 6284354.804804206)
31,187,196418,139.1044192,-33.5752875,188,Grampus Quartzite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,76,84,2,M,80,2,2/11/1994,-,,,0,50,,,,,,0,,,324068.0,6283323.84802,324068.275759,6283323.84802,324068.275759,6283323.84802,80.0,84.0,POINT (324068.2757587226 6283323.848016125)
36,239,198243,139.1439082,-33.6137795,255,Wilyerpa Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,238,246,2,M,74,2,2/11/1994,,,,0,50,,,,,,0,,,327810.0,6279121.72947,327810.354705,6279121.72947,327810.354705,6279121.72947,74.0,246.0,POINT (327810.3547052764 6279121.729468761)
37,258,198595,139.1524212,-33.6135695,273,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,244,252,2,M,74,2,2/11/1994,,,,0,50,,,,,,0,,,328600.0,6279159.15457,328599.79694,6279159.15457,328599.79694,6279159.15457,74.0,252.0,POINT (328599.7969396381 6279159.154569696)
38,260,198596,139.1520982,-33.6129735,275,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,244,252,2,M,46,2,2/11/1994,+,,,0,10,,,,,,0,,,328569.0,6279224.71191,328568.647678,6279224.71191,328568.647678,6279224.71191,46.0,252.0,POINT (328568.6476784547 6279224.711914849)
39,261,198597,139.1431522,-33.6138115,227,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,250,258,2,M,63,2,2/11/1994,,,,0,10,,,,,,0,,,327740.0,6279116.92224,327740.274692,6279116.92224,327740.274692,6279116.92224,63.0,258.0,POINT (327740.2746916015 6279116.922240505)
40,262,198599,139.1421092,-33.6137715,279,Tindelpina Shale Member,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,260,268,2,M,87,2,2/11/1994,,,,0,10,,,,,,0,,,327643.0,6279119.62071,327643.422726,6279119.62071,327643.422726,6279119.62071,87.0,268.0,POINT (327643.4227255703 6279119.62071028)
42,288,199315,139.1378422,-33.6137295,294,Tapley Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,250,258,2,M,83,2,2/11/1994,,,,0,50,,,,,,0,,,327247.0,6279117.16072,327247.434881,6279117.16072,327247.434881,6279117.16072,83.0,258.0,POINT (327247.43488123006 6279117.160720082)
45,291,199319,139.1200642,-33.5932475,299,Pepuarta Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,72,80,2,M,88,2,2/11/1994,,,,0,50,,,,,,0,,,325557.0,6281358.66506,325556.678039,6281358.66506,325556.678039,6281358.66506,88.0,80.0,POINT (325556.67803866684 6281358.66505917)
48,299,199412,139.1388952,-33.5973445,309,Wilyerpa Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,248,256,2,M,82,2,16/11/1994,,,,0,50,,,,,,0,,,327312.0,6280935.91284,327312.457489,6280935.91284,327312.457489,6280935.91284,82.0,256.0,POINT (327312.457489239 6280935.912838722)
50,302,199416,139.1418672,-33.5972465,314,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,262,270,2,M,78,2,16/11/1994,,,,0,50,,,,,,0,,,327588.0,6280951.73555,327588.065095,6280951.73555,327588.065095,6280951.73555,78.0,270.0,POINT (327588.0650945058 6280951.735547919)
51,305,199419,139.1392072,-33.5874095,319,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,248,256,2,M,78,2,16/11/1994,,,,0,50,,,,,,0,,,327322.0,6282038.16067,327321.607381,6282038.16067,327321.607381,6282038.16067,78.0,256.0,POINT (327321.60738057166 6282038.1606668215)
53,309,199423,139.1386682,-33.5873015,324,Warcowie Dolomite Member,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,242,250,2,M,75,2,16/11/1994,,,,0,10,,,,,,0,,,327271.0,6282049.23793,327271.366908,6282049.23793,327271.366908,6282049.23793,75.0,250.0,POINT (327271.3669079761 6282049.237933191)
54,312,199425,139.1374112,-33.5879055,328,Wilyerpa Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,72,80,2,M,90,2,16/11/1994,,,,0,10,,,,,,0,,,327156.0,6281980.16016,327155.908233,6281980.16016,327155.908233,6281980.16016,90.0,80.0,POINT (327155.90823319234 6281980.160161626)
55,314,199426,139.1372172,-33.5882735,330,Wilyerpa Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,70,78,2,M,90,2,16/11/1994,,,,0,250,,,,,,0,,,327139.0,6281939.02741,327138.637237,6281939.02741,327138.637237,6281939.02741,90.0,78.0,POINT (327138.6372367295 6281939.027407845)
56,316,199427,139.1366732,-33.5889465,331,Wilyerpa Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,77,85,2,M,84,2,16/11/1994,,,,0,10,,,,,,0,,,327090.0,6281863.4875,327089.491718,6281863.4875,327089.491718,6281863.4875,84.0,85.0,POINT (327089.49171813554 6281863.487503843)
57,318,199428,139.1362042,-33.5892975,332,Tindelpina Shale Member,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,258,266,2,M,80,2,16/11/1994,,,,0,50,,,,,,0,,,327047.0,6281823.78035,327046.664815,6281823.78035,327046.664815,6281823.78035,80.0,266.0,POINT (327046.66481521004 6281823.780350862)
58,319,199429,139.1350142,-33.5900205,334,Tapley Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,247,255,2,M,78,2,16/11/1994,,,,0,50,,,,,,0,,,326938.0,6281741.61536,326937.666321,6281741.61536,326937.666321,6281741.61536,78.0,255.0,POINT (326937.6663210134 6281741.61536362)
59,320,199430,139.1337012,-33.5904495,335,Tapley Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,260,268,2,M,90,2,16/11/1994,,,,0,50,,,,,,0,,,326817.0,6281691.846,326816.666587,6281691.846,326816.666587,6281691.846,90.0,268.0,POINT (326816.66658721236 6281691.8459997345)
60,321,199431,139.1329262,-33.5910505,336,Tapley Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,247,255,2,M,85,2,16/11/1994,,,,0,10,,,,,,0,,,326746.0,6281623.90199,326745.942451,6281623.90199,326745.942451,6281623.90199,85.0,255.0,POINT (326745.94245113863 6281623.901985437)
63,326,199435,139.1211232,-33.5878065,341,Waukaringa Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,250,258,2,M,89,2,16/11/1994,,,,0,50,,,,,,0,,,325644.0,6281963.82339,325644.007965,6281963.82339,325644.007965,6281963.82339,89.0,258.0,POINT (325644.0079646846 6281963.823393141)
66,334,199445,139.1216572,-33.5858755,359,Waukaringa Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,63,71,2,M,88,2,24/11/1994,,,,0,50,,,,,,0,,,325690.0,6282178.85877,325689.684118,6282178.85877,325689.684118,6282178.85877,88.0,71.0,POINT (325689.6841182395 6282178.858774462)
74,366,199481,139.2484492,-33.6228005,397,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,,0,80,88,5,M,80,5,1/11/1994,,,,0,50,,,,,,0,,,337527.0,6278290.48272,337526.774426,6278290.48272,337526.774426,6278290.48272,80.0,88.0,POINT (337526.77442635107 6278290.48271835)
75,367,199482,139.2493282,-33.6228685,400,Cox Sandstone Member,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,84,92,2,M,90,2,1/11/1994,,,,0,50,,,,,,0,,,337608.0,6278284.32255,337608.447667,6278284.32255,337608.447667,6278284.32255,90.0,92.0,POINT (337608.44766688993 6278284.32255332)
78,371,199485,139.2550062,-33.6232615,405,Tapley Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,?,0,DEL,0,260,268,2,M,60,2,1/11/1994,,,,0,10,,,,,,0,,,338136.0,6278249.64275,338135.935239,6278249.64275,338135.935239,6278249.64275,60.0,268.0,POINT (338135.9352390906 6278249.642754674)
83,382,199495,139.2171192,-33.6225315,417,Tapley Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,290,298,2,M,50,2,6/12/1994,,,,0,10,,,,,,0,,,334620.0,6278270.65665,334619.73821,6278270.65665,334619.73821,6278270.65665,50.0,298.0,POINT (334619.73821042816 6278270.656651558)
91,412,199642,139.2500012,-33.6156745,455,Waukaringa Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,264,272,5,M,74,5,9/12/1994,,,,0,10,,,,,,0,,,337657.0,6279083.13126,337657.387455,6279083.13126,337657.387455,6279083.13126,74.0,272.0,POINT (337657.3874552293 6279083.131263513)
92,414,199489,139.2510992,-33.6157595,461,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,97,105,2,M,64,2,9/12/1994,,,,0,50,,,,,,0,,,337759.0,6279075.42807,337759.417596,6279075.42807,337759.417596,6279075.42807,64.0,105.0,POINT (337759.4175964894 6279075.428074659)
99,442,199688,139.2779762,-33.6156915,484,Saddleworth Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,266,274,2,M,74,2,20/12/1994,,,,0,50,,,,,,0,,,340253.0,6279124.79648,340252.890538,6279124.79648,340252.890538,6279124.79648,74.0,274.0,POINT (340252.89053768606 6279124.7964822985)
100,447,199725,139.2763002,-33.6153355,493,Appila Tillite,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,254,262,2,M,70,2,20/12/1994,,,,0,50,,,,,,0,,,340097.0,6279161.68421,340096.736935,6279161.68421,340096.736935,6279161.68421,70.0,262.0,POINT (340096.73693531647 6279161.684212482)
102,468,199870,139.0437243,-33.6163945,520,Waukaringa Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,82,90,2,M,81,2,2/06/1994,,,,0,50,,,,,,0,,,318520.0,6278660.47267,318520.404547,6278660.47267,318520.404547,6278660.47267,81.0,90.0,POINT (318520.4045465552 6278660.472674426)
103,470,199874,139.0442083,-33.6165945,522,Waukaringa Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,80,88,2,M,88,2,2/06/1994,,,,0,10,,,,,,0,,,318566.0,6278639.1425,318565.730327,6278639.1425,318565.730327,6278639.1425,88.0,88.0,POINT (318565.7303274081 6278639.142500138)
104,490,200027,139.0449123,-33.6168575,542,Fortress Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,78,86,2,M,78,2,2/06/1994,,,,0,10,,,,,,0,,,318632.0,6278611.21144,318631.599867,6278611.21144,318631.599867,6278611.21144,78.0,86.0,POINT (318631.5998672411 6278611.211439181)
105,492,200028,139.0450913,-33.6175085,543,Fortress Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,82,90,2,M,56,2,2/06/1994,,,,0,50,,,,,,0,,,318650.0,6278539.33181,318649.572016,6278539.33181,318649.572016,6278539.33181,56.0,90.0,POINT (318649.57201576733 6278539.331807081)
106,494,200030,139.0459073,-33.6181565,544,Fortress Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,63,71,2,M,33,2,2/06/1994,,,,0,10,,,,,,0,,,318727.0,6278468.90143,318726.638531,6278468.90143,318726.638531,6278468.90143,33.0,71.0,POINT (318726.63853120024 6278468.9014327675)
107,496,200031,139.0475023,-33.6188745,546,Fortress Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,73,81,2,M,42,2,2/06/1994,,,,0,50,,,,,,0,,,318876.0,6278392.0722,318876.12552,6278392.0722,318876.12552,6278392.0722,42.0,81.0,POINT (318876.1255195773 6278392.072199997)
108,501,200037,139.0696103,-33.6120425,549,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,255,263,2,M,41,2,2/06/1994,,,,0,10,,,,,,0,,,320913.0,6279188.20735,320913.146225,6279188.20735,320913.146225,6279188.20735,41.0,263.0,POINT (320913.1462247983 6279188.207348283)
109,503,200038,139.0695693,-33.6109045,550,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,247,255,2,M,52,2,2/06/1994,,,,0,50,,,,,,0,,,320907.0,6279314.33554,320906.987394,6279314.33554,320906.987394,6279314.33554,52.0,255.0,POINT (320906.98739377095 6279314.335540121)
111,507,200042,139.0649723,-33.6090625,554,Waukaringa Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,247,255,2,M,68,2,2/06/1994,,,,0,50,,,,,,0,,,320477.0,6279510.63764,320476.623776,6279510.63764,320476.623776,6279510.63764,68.0,255.0,POINT (320476.6237761531 6279510.6376356315)
112,508,200043,139.0699903,-33.5962135,556,Cox Sandstone Member,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,70,78,2,M,50,2,9/06/1994,,,,0,10,,,,,,0,,,320916.0,6280944.22926,320915.667126,6280944.22926,320915.667126,6280944.22926,50.0,78.0,POINT (320915.66712561436 6280944.229255611)
113,511,200045,139.0690983,-33.5956945,562,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,262,270,2,M,48,2,9/06/1994,,,,0,10,,,,,,0,,,320832.0,6281000.24004,320831.813122,6281000.24004,320831.813122,6281000.24004,48.0,270.0,POINT (320831.8131223612 6281000.240038125)
114,512,200046,139.0688853,-33.5949885,563,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,256,264,2,M,53,2,9/06/1994,,,,0,50,,,,,,0,,,320811.0,6281078.16338,320810.585289,6281078.16338,320810.585289,6281078.16338,53.0,264.0,POINT (320810.58528924733 6281078.1633790955)
115,513,200049,139.0698203,-33.5971785,564,Cox Sandstone Member,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,263,271,2,M,37,2,9/06/1994,,,,0,50,,,,,,0,,,320902.0,6280836.92107,320901.88622,6280836.92107,320901.88622,6280836.92107,37.0,271.0,POINT (320901.8862196506 6280836.921067164)
116,515,200051,139.0685523,-33.5978355,566,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,260,268,2,M,46,2,9/06/1994,,,,0,250,,,,,,0,,,320786.0,6280761.86767,320785.572831,6280761.86767,320785.572831,6280761.86767,46.0,268.0,POINT (320785.57283099514 6280761.867666509)
119,520,200067,139.0685663,-33.6016645,579,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,256,264,2,M,52,2,9/06/1994,,,,0,10,,,,,,0,,,320795.0,6280337.27335,320794.796187,6280337.27335,320794.796187,6280337.27335,52.0,264.0,POINT (320794.79618677637 6280337.273349594)
120,521,200068,139.0676013,-33.6016595,580,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,252,260,2,M,58,2,9/06/1994,,,,0,50,,,,,,0,,,320705.0,6280336.15618,320705.236489,6280336.15618,320705.236489,6280336.15618,58.0,260.0,POINT (320705.2364890119 6280336.156175197)
123,524,200071,139.0686913,-33.6039955,584,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,268,276,2,M,57,2,9/06/1994,,,,0,10,,,,,,0,,,320811.0,6280078.99249,320811.219939,6280078.99249,320811.219939,6280078.99249,57.0,276.0,POINT (320811.21993873443 6280078.992493784)
126,540,200116,139.0714213,-33.6054145,596,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,82,90,2,M,30,2,9/06/1994,,,,0,50,,,,,,0,,,321067.0,6279926.35634,321067.48215,6279926.35634,321067.48215,6279926.35634,30.0,90.0,POINT (321067.4821504439 6279926.356341066)
128,543,200120,139.0710473,-33.6087035,600,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,258,266,2,M,48,2,9/06/1994,,,,0,50,,,,,,0,,,321040.0,6279560.97428,321039.576672,6279560.97428,321039.576672,6279560.97428,48.0,266.0,POINT (321039.5766717397 6279560.974279908)
129,544,200121,139.0714003,-33.6089865,601,Tarcowie Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,258,266,2,M,28,2,9/06/1994,,,,0,10,,,,,,0,,,321073.0,6279530.20142,321072.916361,6279530.20142,321072.916361,6279530.20142,28.0,266.0,POINT (321072.9163609416 6279530.201419117)
137,575,200269,139.0365613,-33.5737365,629,Waukaringa Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,80,88,2,M,85,2,15/06/1994,,,,0,10,,,,,,0,,,317766.0,6283378.49064,317766.07224,6283378.49064,317766.07224,6283378.49064,85.0,88.0,POINT (317766.07223970606 6283378.490641928)
138,577,200270,139.0374133,-33.5732555,630,Waukaringa Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,81,89,2,M,83,2,15/06/1994,,,,0,50,,,,,,0,,,317844.0,6283433.3306,317844.150778,6283433.3306,317844.150778,6283433.3306,83.0,89.0,POINT (317844.1507780738 6283433.330596587)
139,579,200271,139.0379613,-33.5732255,632,Waukaringa Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,80,88,2,M,63,2,15/06/1994,,,,0,10,,,,,,0,,,317895.0,6283437.62131,317894.957699,6283437.62131,317894.957699,6283437.62131,63.0,88.0,POINT (317894.95769876265 6283437.621311659)
140,581,200272,139.0391633,-33.5759745,633,Waukaringa Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,87,95,2,M,67,2,15/06/1994,,,,0,50,,,,,,0,,,318012.0,6283134.882,318012.309363,6283134.882,318012.309363,6283134.882,67.0,95.0,POINT (318012.3093630124 6283134.8819992095)
141,583,200273,139.0407433,-33.5761505,634,Waukaringa Siltstone,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,83,91,5,M,70,5,15/06/1994,,,,0,10,,,,,,0,,,318159.0,6283118.1402,318159.342759,6283118.1402,318159.342759,6283118.1402,70.0,91.0,POINT (318159.3427590231 6283118.14020319)
142,584,200286,139.0450343,-33.5767095,636,Fortress Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,72,80,2,M,42,2,15/06/1994,,,,0,50,,,,,,0,,,318559.0,6283063.67698,318558.825736,6283063.67698,318558.825736,6283063.67698,42.0,80.0,POINT (318558.82573624246 6283063.676984966)
143,587,200299,139.0451573,-33.5770855,637,Fortress Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,75,83,2,M,47,2,15/06/1994,,,,0,10,,,,,,0,,,318571.0,6283022.19575,318571.030252,6283022.19575,318571.030252,6283022.19575,47.0,83.0,POINT (318571.0302517818 6283022.195747844)
144,589,200300,139.0430173,-33.5714215,638,Fortress Hill Formation,,SPSH,Originally horizontal sedimentary bedding,Bedding that was originally horizontal during deposition. (NB: This does not indicate the present structural orientation of bedding).,,0,DEL,0,74,82,2,M,40,2,15/06/1994,,,,0,250,,,,,,0,,,318361.0,6283646.557,318360.517699,6283646.557,318360.517699,6283646.557,40.0,82.0,POINT (318360.5176986363 6283646.556997271)
