EASTING,NORTHING,DIP,DIP_DIR,count,kappa,beta
499168,6784892,69,170,1,1e-06,0.0
499168,6785892,80,95,1,1e-06,0.0
499168,6786892,84,110,1,1e-06,4.99e-07
499168,6807892,80,229,3,1e-06,0.0
499168,6810892,90,70,1,1e-06,4.99e-07
499168,6812892,84,54,1,1e-06,4.99e-07
499168,6813892,66,190,1,1e-06,0.0
500168,6780892,71,192,2,1e-06,4.99e-07
500168,6796892,90,239,1,1e-06,4.99e-07
500168,6800892,60,247,1,1e-06,4.99e-07
500168,6801892,80,245,1,1e-06,4.99e-07
500168,6802892,80,250,1,1e-06,4.99e-07
500168,6803892,8,165,2,1e-06,0.0
500168,6804892,90,244,2,1e-06,0.0
500168,6805892,90,239,1,1e-06,4.99e-07
501168,6794892,90,100,1,1e-06,4.99e-07
501168,6795892,67,295,3,1e-06,4.99e-07
501168,6799892,60,250,1,1e-06,4.99e-07
501168,6800892,70,60,1,1e-06,4.99e-07
501168,6802892,85,65,1,1e-06,4.99e-07
501168,6803892,77,227,4,1e-06,0.0
502168,6740892,44,190,1,1e-06,0.0
502168,6770892,80,330,1,1e-06,0.0
502168,6793892,85,255,1,1e-06,4.99e-07
502168,6794892,90,250,1,1e-06,4.99e-07
502168,6797892,14,351,2,2.924095339310181,0.0
502168,6798892,74,254,2,1e-06,0.0
502168,6800892,71,239,3,1e-06,0.0
503168,6775892,53,256,2,1e-06,4.99e-07
503168,6776892,66,260,1,1e-06,4.99e-07
503168,6778892,69,202,1,1e-06,0.0
503168,6795892,69,46,3,1e-06,0.0
503168,6796892,49,2,3,11.64248976170574,0.0
503168,6797892,79,46,6,1e-06,0.0
503168,6799892,72,60,2,1e-06,0.0
503168,6809892,69,55,1,1e-06,4.99e-07
504168,6776892,70,239,1,1e-06,4.99e-07
504168,6796892,71,30,5,1e-06,0.0
504168,6797892,80,28,4,1e-06,4.99e-07
504168,6798892,70,45,1,1e-06,4.99e-07
505168,6780892,88,239,1,1e-06,4.99e-07
505168,6785892,90,55,1,1e-06,4.99e-07
