EASTING,NORTHING,DIP,DIP_DIR
530168,6741892,17,11
530168,6783892,85,132
531168,6785892,64,335
532168,6741892,43,42
532168,6783892,54,125
533168,6739892,41,50
533168,6740892,52,54
533168,6783892,73,65
533168,6785892,72,358
533168,6787892,70,20
533168,6790892,54,223
535168,6783892,43,261
536168,6738892,41,40
537168,6788892,48,277
537168,6789892,48,262
540168,6785892,46,15
540168,6786892,58,305
541168,6784892,80,295
541168,6786892,61,263
542168,6786892,80,322
547168,6791892,73,20
565168,6818892,54,129
574168,6899892,74,300
575168,6900892,56,305
577168,6899892,39,20
579168,6901892,75,0
580168,6935892,85,95
581168,6895892,90,70
581168,6901892,22,98
581168,6902892,69,315
581168,6903892,70,280
581168,6930892,12,207
581168,6934892,90,295
582168,6934892,85,275
583168,6935892,69,130
584168,6936892,80,130
588168,6898892,60,270
588168,6900892,49,275
588168,6903892,80,239
588168,6932892,60,111
589168,6933892,85,100
589168,6936892,49,118
589168,6938892,65,155
591168,6936892,49,110
592168,6894892,73,245
601168,6950892,73,296
601168,6951892,70,300
602168,6951892,74,302
602168,6952892,72,309
603168,6936892,69,295
603168,6937892,84,297
603168,6938892,78,300
603168,6952892,49,302
604168,6804892,90,68
604168,6805892,69,72
604168,6947892,80,303
605168,6946892,90,318
605168,6947892,76,300
606168,6947892,80,272
606168,6948892,80,278
606168,6950892,72,293
607168,6807892,77,89
607168,6950892,75,290
608168,6945892,80,117
608168,6947892,90,273
608168,6950892,80,290
609168,6946892,80,300
609168,6947892,82,295
609168,6954892,72,298
609168,6955892,80,300
609168,6957892,80,298
610168,6948892,10,286
610168,6949892,49,112
610168,6953892,69,305
610168,6955892,80,293
611168,6950892,74,114
611168,6951892,65,115
611168,6953892,75,115
611168,6955892,13,227
612168,6952892,79,120
612168,6953892,80,115
612168,6954892,73,107
612168,6955892,40,8
613168,6953892,70,110
613168,6954892,74,126
613168,6956892,75,113
614168,6955892,6,264
614168,6956892,69,128
615168,6956892,75,120
616168,6795892,47,92
616168,6800892,85,280
617168,6790892,43,49
617168,6802892,80,280
617168,6803892,41,66
618168,6789892,41,60
618168,6800892,67,290
619168,6795892,61,243
622168,6956892,69,318
623168,6794892,19,239
623168,6957892,80,325
624168,6801892,90,66
624168,6957892,75,60
625168,6956892,80,60
626168,6880892,65,70
630168,6789892,55,172
630168,6790892,70,102
636168,6877892,75,197
638168,6881892,90,288
639168,6884892,33,289
642168,6885892,69,190
643168,6886892,80,261
647168,6841892,82,278
647168,6889892,67,274
647168,6916892,42,324
648168,6896892,35,271
